File,Tag,Content
/mnt/data/index.html,Header-h3,Couple Wallet Combo
/mnt/data/index.html,Header-h3,Sling Bag
/mnt/data/index.html,Header-h3,Men's Wallet
/mnt/data/index.html,Header-h3,Ladies Wallet
/mnt/data/index.html,Header-h3,Spotify Plaque
/mnt/data/index.html,Header-h3,Passport Cover
/mnt/data/index.html,Header-h3,Customized Pen
/mnt/data/index.html,Header-h3,Mens Full Combo
/mnt/data/index.html,Header-h3,3 Pcs Combo
/mnt/data/index.html,Header-h1,customer'sreview
/mnt/data/index.html,Header-h3,Pratham
/mnt/data/index.html,Header-h3,Abin
/mnt/data/index.html,Header-h3,Swapnil
/mnt/data/index.html,Header-h1,Please WriteA Review
/mnt/data/index.html,Header-h3,quick links
/mnt/data/index.html,Header-h3,extra links
/mnt/data/index.html,Header-h3,contact info
/mnt/data/index.html,Paragraph,One stop gifting solution for all age groups.Best quality with best rates.
/mnt/data/index.html,Paragraph,We are One Of the Best Seller and manufacturer of gifting items with more than 100+ Items in stock with fully customizable designs.
/mnt/data/index.html,Paragraph,We Are Having A customer Base of nearly 10000+ people and Reseller base of 300+ Resellers.Your order is finaly crafted and checked by expert before dispatch and then packed with love & Care.
/mnt/data/index.html,Paragraph,Review
/mnt/data/index.html,Paragraph,
/mnt/data/index.html,Paragraph,
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#home
/mnt/data/index.html,Link,#about
/mnt/data/index.html,Link,#products
/mnt/data/index.html,Link,#review
/mnt/data/index.html,Link,contact.html
/mnt/data/index.html,Link,F&Q.html
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#products
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,https://wa.me/message/YR3A3JQXCLA4F1
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Link,#
/mnt/data/index.html,Product,Couple Wallet Combo
/mnt/data/index.html,Price,₹13501500
/mnt/data/index.html,Product,Sling Bag
/mnt/data/index.html,Price,₹9001000
/mnt/data/index.html,Product,Men's Wallet
/mnt/data/index.html,Price,₹540600
/mnt/data/index.html,Product,Ladies Wallet
/mnt/data/index.html,Price,₹9001000
/mnt/data/index.html,Product,Spotify Plaque
/mnt/data/index.html,Price,₹630700
/mnt/data/index.html,Product,Passport Cover
/mnt/data/index.html,Price,₹630700
/mnt/data/index.html,Product,Customized Pen
/mnt/data/index.html,Price,₹400440
/mnt/data/index.html,Product,Mens Full Combo
/mnt/data/index.html,Price,₹18002000
/mnt/data/index.html,Product,3 Pcs Combo
/mnt/data/index.html,Price,₹13501500
/mnt/data/index.html,Product,Pratham
/mnt/data/index.html,Price,No Price
/mnt/data/index.html,Product,Abin
/mnt/data/index.html,Price,No Price
/mnt/data/index.html,Product,Swapnil
/mnt/data/index.html,Price,No Price
/mnt/data/index.html,Product,quick links
/mnt/data/index.html,Price,No Price
/mnt/data/index.html,Product,extra links
/mnt/data/index.html,Price,No Price
/mnt/data/index.html,Product,contact info
/mnt/data/index.html,Price,No Price
